semantic_group_id,num_markets,num_dates,num_event_slugs,event_slugs,actors,sample_questions,needs_review
us-strikes-iran:iran,59,13,2,"us-strikes-iran-by-october-3, us-strikes-iran-by",iran,"US strikes Iran by October 31? | US strikes Iran by October 3? | US strikes Iran by February 5, 2026? | US strikes Iran by January 31, 2026? | US strikes Iran by January 14, 2026?",True
trump-announces-new-drug-boat-strike:trump,35,13,15,"trump-announces-new-drug-boat-strike-by-november-7, trump-announces-new-drug-boat-strike-by, trump-announces-new-drug-boat-strike-by-519, trump-announces-new-drug-boat-strike-by-971, trump-announces-new-drug-boat-strike-by-467",trump,Trump announces new drug boat strike by November 7? | Trump announces new drug boat strike by November 7? | Trump announces new drug boat strike by November 14? | Trump announces new drug boat strike by November 9? | Trump announces new drug boat strike by November 14?,True
israel-x-hamas-ceasefire:israel,32,31,32,"israel-x-hamas-ceasefire-before-may, israel-x-hamas-ceasefire-before-september, israel-x-hamas-ceasefire-before-july, israel-x-hamas-ceasefire-before-october, israel-x-hamas-ceasefire-by-january-31",israel,Israel x Hamas ceasefire before May? | Israel x Hamas ceasefire before September? | Israel x Hamas ceasefire before July? | Israel x Hamas ceasefire before October? | Israel x Hamas ceasefire by January 31?,True
bitcoin-all-time-high,29,23,26,"bitcoin-all-time-high-by-friday-may-24, bitcoin-all-time-high-by-january, bitcoin-all-time-high-by-march, bitcoin-all-time-high-by-june, bitcoin-all-time-high-by-january-31",,Bitcoin all time high by Friday? | Bitcoin all time high by January 31? | Bitcoin all time high by March 31? | Bitcoin all time high by June 30? | Bitcoin all time high by January 31?,True
israel-strikes-iran:iran,25,23,23,"israel-strikes-iran-before-july, israel-strikes-iran-before-august, israel-strikes-iran-before-2026, israel-strikes-iran-before-september-141, israel-strikes-iran-by-october-31",iran,Israel strikes Iran before July? | Israel strikes Iran before August? | Israel strikes Iran before 2026? | Israel strikes Iran before September? | Israel strikes Iran by October 31?,True
will-trump-admin-release-any-more-epstein-related-files:trump,20,5,6,"will-trump-admin-release-any-more-epstein-related-files-by, will-trump-admin-release-any-more-epstein-related-files-by-845, will-trump-admin-release-any-more-epstein-related-files-by-816, will-trump-admin-release-any-more-epstein-related-files-by-773, will-trump-admin-release-any-more-epstein-related-files-by-777",trump,Will Trump admin release any more Epstein related files by December 31? | Will Trump admin release any more Epstein related files by January 9? | Will Trump admin release any more Epstein related files by January 17? | Will Trump admin release any more Epstein related files by January 24? | Will Trump admin release any more Epstein related files by January 31?,True
russia-strike-on-kyiv-municipality:russia,17,6,7,"russia-strike-on-kyiv-municipality-by-651, russia-strike-on-kyiv-municipality-by-december-5, russia-strike-on-kyiv-municipality-by-december-31-684, russia-strike-on-kyiv-municipality-by-168, russia-strike-on-kyiv-municipality-by-675",russia,Russia strike on Kyiv municipality by December 5? | Russia strike on Kyiv municipality by December 12? | Russia strike on Kyiv municipality by December 5? | Russia strike on Kyiv municipality by December 15? | Russia strike on Kyiv municipality by December 31?,True
north-korea-missile-test:north-korea,16,15,16,"north-korea-missile-test-by-june-21, north-korea-missile-test-by-january-31, north-korea-missile-test-by-february-14, north-korea-missile-test-by-march-31, north-korea-missile-test-before-april",north-korea,North Korea missile test by June 21? | North Korea missile test by January 31? | North Korea missile test by February 14? | North Korea missile test by March 31? | North Korea missile test before April?,True
will-chatgpt-be-out-as-the-1-free-app-in-the-us-apple-store:us,16,2,4,"chatgpt-out-as-1-free-app-in-the-us-apple-app-store-by, chatgpt-out-as-1-free-app-in-the-us-apple-app-store-by-677, chatgpt-out-as-1-free-app-in-the-us-apple-app-store-by-775, chatgpt-out-as-1-free-app-in-the-us-apple-app-store-by-172",us,Will ChatGPT be out as the #1 Free App in the US Apple Store by March 31? | Will ChatGPT be out as the #1 Free App in the US Apple Store by June 30? | Will ChatGPT be out as the #1 Free App in the US Apple Store by December 31? | Will ChatGPT be out as the #1 Free App in the US Apple Store by February 6? | Will ChatGPT be out as the #1 Free App in the US Apple Store by February 5?,True
russia-x-ukraine-ceasefire:russia,15,15,15,"russia-x-ukraine-ceasefire-by-february-1, russia-x-ukraine-ceasefire-before-july, russia-x-ukraine-ceasefire-by-friday, russia-x-ukraine-ceasefire-before-october, russia-x-ukraine-ceasefire-before-june",russia,Russia x Ukraine ceasefire by February 1? | Russia x Ukraine ceasefire before July? | Russia x Ukraine Ceasefire by Friday? | Russia x Ukraine ceasefire before October? | Russia x Ukraine ceasefire before June?,True
another-7pt0-or-above-earthquake,15,7,10,"another-7pt0-or-above-earthquake-by-august-31, another-7pt0-or-above-earthquake-by-september-30, another-7pt0-or-above-earthquake-by-september-30-162, another-7pt0-or-above-earthquake-by-october-31, another-7pt0-or-above-earthquake-by-september-30-648",,Another 7.0 or above earthquake by August 31? | Another 7.0 or above earthquake by September 30? | Another 7.0 or above earthquake by September 30? | Another 7.0 or above earthquake by October 31? | Another 7.0 or above earthquake by September 30?,True
israel-strike-on-yemen:israel,14,10,11,"israel-strike-on-yemen-by-september-5, israel-strike-on-yemen-by-september-30, israel-strike-on-yemen-by-september-15, israel-strike-on-yemen-by, israel-strike-on-yemen-by-september-30-328",israel,Israel strike on Yemen by September 5? | Israel strike on Yemen by September 30? | Israel strike on Yemen by September 15? | Israel strike on Yemen by September 15? | Israel strike on Yemen by September 30?,True
us-military-action-against-iran:iran,13,13,13,"us-military-action-against-iran-by-april-15, us-military-action-against-iran-by-monday, us-military-action-against-iran-by-august-31, us-military-action-against-iran-by-september-30, us-military-action-against-iran-before-november",iran,U.S. military action against Iran by April 15? | U.S. military action against Iran by Monday? | U.S. military action against Iran by August 31? | U.S. military action against Iran by September 30? | U.S. military action against Iran before November?,True
us-bank-failure,13,12,12,"us-bank-failure-by-june-30, us-bank-failure-before-september, us-bank-failure-by-october, us-bank-failure-before-december, us-bank-failure-before-march",,US bank failure by June 30? | US bank failure before September? | US bank failure by October 31? | US bank failure before December? | US bank failure before March?,True
