"token_id","market_id","event_id","event_slug","category","question","end_date","price_30d","days_30d","price_7d","days_7d","price_1d","days_1d","delta_30_to_7","delta_7_to_1","delta_30_to_1","lambda_30d","lambda_7d","lambda_1d"
"100002081885034764764213898281586264949106447006157783140229913208847078409267","573261","36077","trump-imposes-tariff-on-pharmaceuticals-by-august-31","","Trump imposes tariff on pharmaceuticals by August 31?","2025-08-31T00:00:00Z","0.665","25","0.07","7","0.0115","1","-0.595","-0.05850000000000001","-0.6535000000000001","0.018998207718526193","0.004502435920866416","0.005023326350308876"
"100010394977968618184089952978836170167167780091725766635415026766682238418774","555170","28457","will-either-cuomo-or-mamdani-concede-by","","Will either Cuomo or Mamdani concede by Friday?","2025-06-28T00:00:00Z","0.115","5","0.115","5","0.9995","3","0","0.8845000000000001","0.8845000000000001","0.010611345860434912","0.010611345860434912","1.1003433318880098"
"100045003069489395028349120138510792738244696689209850743488087533520482498743","670239","75643","north-korea-missile-launch-by-november-15-879","","North Korea missile launch by November 15?","2025-11-15T00:00:00Z","0.165","8","0.105","7","0.02","1","-0.06000000000000001","-0.08499999999999999","-0.14500000000000002","0.009789190564549742","0.006882423526298288","0.00877392430750515"
"100067677053694812730460296850221451830656965871151478092125776330632208052828","528975","21255","fed-decision-in-july","","Fed increases interest rates by 25+ bps after July 2025 meeting?","2025-07-30T12:00:00Z","0.0045","29.5","0.0005","6.5","0.0005","0.5","-0.004","0","-0.004","0.00006639781818886854","0.000033415622440651055","0.00043440309172846373"
"100071872107960057604921135565995391801241144245117051947920528673285528143582","522218","17917","will-trump-remove-carried-interest-loophole-before-july","","Will Trump remove carried interest loophole before July?","2025-06-30T12:00:00Z","0.0325","29.5","0.01","6.5","0.0025","0.5","-0.0225","-0.0075","-0.030000000000000002","0.0004864076714932534","0.0006715085234538597","0.0021741912824282754"
"100121345789532362055123879793212027312379236056429540221720415709850532973373","527005","20451","us-announces-resumption-of-direct-flights-to-russia-before-may","","U.S. announces resumption of direct flights to Russia before May?","2025-04-30T12:00:00Z","0.115","29.5","0.0275","6.5","0.0005","0.5","-0.08750000000000001","-0.027","-0.1145","0.0017985331966838833","0.0018631369234237906","0.00043440309172846373"
"100122248734646686508374800287904470281830186285786067774211625522557814982468","254369","903412","when-will-wormhole-airdrop","","No Wormhole airdrop before July?","2024-06-29T00:00:00Z","0.005","87","0.005","87","0.005","87","0","0","0","0.00002502206039396031","0.00002502206039396031","0.00002502206039396031"
"100124257138415995466041440935420785495074517950852430494816839294498522241698","642538","62986","openai-browser-by-october-24","","OpenAI browser by October 24?","2025-10-24T00:00:00Z","0.9995","3","0.9995","3","0.9995","3","0","0","0","1.1003433318880098","1.1003433318880098","1.1003433318880098"
"100141339433050346815317170099814316627854842494115780758065146282979152298532","707139","91286","1-song-on-spotify-this-week-december-5","","Will So Easy (To Fall In Love) by Olivia Dean be the #1 song on Spotify this week?","2025-12-05T00:00:00Z","0.0265","7","0.0265","7","0.001","1","0","-0.0255","-0.0255","0.0016662920205642161","0.0016662920205642161","0.0004345117740176917"
"100155112335925842040397251503981075493331768821877205382821346759356222849042","528976","21256","israel-x-hamas-ceasefire-before-may-2025","","Israel x Hamas ceasefire before May?","2025-04-30T12:00:00Z","0.34","29.5","0.0115","6.5","0.0005","0.5","-0.3285","-0.011","-0.3395","0.006117154727394283","0.000772819438509058","0.00043440309172846373"
"100157967656423609811028460476909748322541634928811879399050311353726144853546","570431","35102","will-terry-mclaurin-leave-the-commanders-before-week-1","","Will Terry McLaurin leave the Commanders before Week 1?","2025-09-07T00:00:00Z","0.205","30","0.0105","7","0.002","1","-0.19449999999999998","-0.0085","-0.20299999999999999","0.0033210957114509897","0.0006548859225121299","0.0008694587126288914"
"100172324156197166338121451798209692669486633742859463456756559274235613867730","562704","32217","dan-bongino-out-as-deputy-director-of-the-fbi-by-july-31","","Dan Bongino out as Deputy Director of the FBI by July 31?","2025-07-31T00:00:00Z","0.665","20","0.05","7","0.006","1","-0.615","-0.044000000000000004","-0.659","0.02374775964815774","0.003182342101593179","0.00261361560268669"
"100193652630627209069216338186122165312063125932059056699195364732970760769836","580204","39289","another-7pt0-or-above-earthquake-by-august-31","","Another 7.0 or above earthquake by August 31?","2025-08-31T00:00:00Z","0.305","9","0.255","7","0.04","1","-0.04999999999999999","-0.215","-0.265","0.017557243934431786","0.01826338960738674","0.017728766960431602"
"100238870520784470695913309666146327246663756412346913679872698758000674262749","692317","85704","who-will-announce-presidential-run-before-2027","","Will John Thune announce a presidential run before 2027?","2026-12-31T00:00:00Z","0.11","289","0.11","289","0.11","289","0","0","0","0.00017512108427365815","0.00017512108427365815","0.00017512108427365815"
"100286999218445201297425985826708089741827170111656516270759455375641337807041","1393481","214498","total-internet-blackout-in-iran-by","","Total Internet Blackout in Iran by February 28, 2026?","2026-03-31T00:00:00Z","0.9995","31","0.9995","31","0.9995","31","0","0","0","0.1064848385698074","0.1064848385698074","0.1064848385698074"
"100287514705853562207024142369991262845749687247667172227408277318016508667438","791705","95358","israel-strikes-iran-by-march-31-2026","","Israel strikes Iran by March 31, 2026?","2026-03-31T00:00:00Z","0.9995","31","0.9995","31","0.9995","31","0","0","0","0.1064848385698074","0.1064848385698074","0.1064848385698074"
"100338224235966866179454695611318589241169726735097596227255381126786442360766","535806","22532","liberal-vs-conservative-polling-margin-next-friday","","Will the Liberal party lead by less than 4% on April 18?","2025-04-18T12:00:00Z","0.405","9.5","0.105","6.5","0.0005","0.5","-0.30000000000000004","-0.1045","-0.4045","0.023735056239100046","0.007411840720628926","0.00043440309172846373"
"100361133436835365669017795125653050127412205500235248286144003914221349989404","544266","24398","will-trump-recognize-syrian-government-before-august","","Will Trump recognize Syrian government before August?","2025-07-31T12:00:00Z","0.9995","78.5","0.9995","78.5","0.9995","78.5","0","0","0","0.04205133752438254","0.04205133752438254","0.04205133752438254"
"100379208559626151022751801118534484742123694725746262280150222742563282755057","609655","48802","us-recession-by-end-of-2026","","US recession by end of 2026?","2027-01-31T00:00:00Z","0.305","320","0.305","320","0.305","320","0","0","0","0.000493797485655894","0.000493797485655894","0.000493797485655894"
"10043006318496688039601465510154498484984121544176577545807437390241899351343","520900","17493","february-2025-temperature-increase-c","","Will global temperature increase by between 1.25-1.29ºC in February 2025?","2025-02-28T12:00:00Z","0.175","29.5","0.785","6.5","0.895","0.5","0.6100000000000001","0.10999999999999999","0.72","0.002832069540680506","0.10270177539759918","1.957621401860124"
"100441399760622064650840625494872216181329090159239475460428335733835379523137","1184757","164330","will-russia-capture-bilytske-by","","Will Russia capture Bilytske by March 31, 2026?","2026-03-31T00:00:00Z","0.115","30","0.075","14","0.075","14","-0.04000000000000001","0","-0.04000000000000001","0.0017685576434058187","0.0024184476614976694","0.0024184476614976694"
"100471965269824320115978709397983071011520872592598909591240930607649315864726","1385659","211797","us-forces-seize-another-oil-tanker-by-471","","U.S. forces seize another oil tanker by February 28, 2026?","2026-02-28T00:00:00Z","0.795","12","0.585","7","0.9995","4","-0.21000000000000008","0.4145000000000001","0.20450000000000002","0.05735384491202048","0.05456455761255818","0.8252574989160073"
"100474296834012879925853984043025387013044535414500064139604593426660111195658","1361114","203735","will-the-white-house-call-a-full-lid-before-630pm-february-9-14","","Will the White House call a full lid by 6:30PM on February 12?","2026-02-14T00:00:00Z","0.72","5","0.72","5","0.9995","2","0","0.2795000000000001","0.2795000000000001","0.11056839373155616","0.11056839373155616","1.6505149978320146"
"100475972744791488973012477987221973097322854452781656943707035346206784640115","518136","16569","tiktok-sale-announced-before-april","","TikTok sale announced before April?","2025-03-31T12:00:00Z","0.13","29.5","0.0245","6.5","0.0015","0.5","-0.10550000000000001","-0.023","-0.1285","0.0020501948264875077","0.0016573425029943248","0.0013038615865572038"
"100484661557797780274107651475875781346145852864782659235617975575177222576850","666872","73975","google-gemini-3-score-on-lmarena-by-december-31","","Will any Google Gemini 3 model score at least 1500 on LMArena by December 31?","2025-12-31T00:00:00Z","0.125","30","0.026","7","0.003","1","-0.099","-0.023","-0.122","0.0019330648992562252","0.0016344347316263545","0.0013048416883442813"
"100490335669631964243680692376086374140994132425858797210321213508960764756423","665534","73237","google-gemini-3-score-on-humanitys-last-exam-by-january-31","","Will Google Gemini 3 score at least 30% on Humanity’s Last Exam by January 31?","2026-01-31T00:00:00Z","0.9995","72","0.9995","72","0.9995","72","0","0","0","0.045847638828667076","0.045847638828667076","0.045847638828667076"
"100495325070185380836659360263463212261042126524548548068453818597972668141867","1067181","133436","which-banks-will-fail-by-june-30","","Will Citigroup fail by June 30, 2026?","2026-06-30T00:00:00Z","0.029","105","0.029","105","0.029","105","0","0","0","0.00012172161992376332","0.00012172161992376332","0.00012172161992376332"
"100505290695425021077048705728574849002549831913369437106869930087481998476949","517947","16521","will-palisades-fire-spread-to-beverly-hills-by-sunday","","Will Palisades wildfire spread to Beverly Hills by Sunday?","2025-01-12T12:00:00Z","0.07","4.5","0.07","4.5","0.0015","0.5","0","-0.0685","-0.0685","0.007003789210236647","0.007003789210236647","0.0013038615865572038"
"100509488306986623981483358694541746368969297805297450914636301920289579057725","609609","48782","will-russia-capture-drobysheve-by-october-31","","Will Russia capture Drobysheve by October 31?","2025-10-31T00:00:00Z","0.17","30","0.075","7","0.0085","1","-0.09500000000000001","-0.0665","-0.1615","0.0026973969207975375","0.004836895322995339","0.0037072814586785003"
"100510204993926928418286119932299597610757892658978714594299738789165673110464","554708","28215","trump-announces-end-of-military-operations-against-iran-before-july","","Trump announces end of military operations against Iran before July?","2025-06-30T00:00:00Z","0.28","9","0.495","7","0.9995","2","0.21499999999999997","0.5045000000000001","0.7195","0.015851944840970175","0.042386945983048374","1.6505149978320146"
"1005929320415435493713753131360457938722165769184903481197456075214507989539","628932","57093","uk-sanctions-on-russia-by-october-31","","UK sanctions on Russia by October 31?","2025-10-31T00:00:00Z","0.215","22","0.9995","11","0.9995","11","0.7845000000000001","0","0.7845000000000001","0.004778651966124884","0.3000936359694572","0.3000936359694572"
"100609607625182382624193104548921774973445408678431158778514964996831797085537","248563","901498","fed-interest-rates-march-2023","","Will the Fed decrease interest rates by 25 bps after its March meeting?","2023-03-22T00:00:00Z","0.01","30","0.04","7","0.01","1","0.03","-0.03","0","0.00014549351341500293","0.0025326809943473716","0.004364805402450088"
"100618749606100170636578379957328904158386636363711180475921877282173126339513","557761","30319","bitcoin-all-time-high-before-august","","Bitcoin all time high before August?","2025-07-31T00:00:00Z","0.56","30","0.9995","22","0.9995","22","0.4395","0","0.4395","0.011884910783793754","0.1500468179847286","0.1500468179847286"
"100621925619887114741289511820869442648743291717795605232895770686204425290612","788676","95117","will-netanyahu-be-pardoned-by-february-28","","Will Netanyahu be pardoned by February 28?","2026-02-28T00:00:00Z","0.0745","30","0.024","7","0.015","1","-0.050499999999999996","-0.009000000000000001","-0.0595","0.0011207858970359028","0.0015071689047583135","0.006563769502388274"
"100624461604916188505270506365753506959765994823391096390594480111352911615940","678693","79906","will-another-ai-generated-song-reach-number-1-on-any-billboard-chart-by-june-30","","Will another AI-generated song reach number 1 on any Billboard chart by June 30?","2026-06-30T00:00:00Z","0.665","105","0.665","105","0.665","105","0","0","0","0.004523382790125284","0.004523382790125284","0.004523382790125284"
"100647932394524753511024372351439090270565953451319138975996721541418061568325","254246","903377","fed-interest-rates-march-2024","","Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?","2024-03-18T00:00:00Z","0.016","30","0.0055","7","0.0035","1","-0.0105","-0.0019999999999999996","-0.0125","0.00023349671895528298","0.0003421732199350858","0.0015226969634935688"
"100668230533948202355432437218421040082970099098152902183319661774935407656206","567029","33829","will-russia-capture-udachne-by-august-31","","Will Russia capture Udachne by August 31?","2025-08-31T00:00:00Z","0.445","30","0.999","16","0.999","16","0.554","0","0.554","0.008523567229244128","0.18749999999999997","0.18749999999999997"
"100668876132068752061564352183860493866786941316986549076816147147041536885963","537638","22902","will-trump-lower-tariffs-on-china-by","","Will Trump lower tariffs on China by July 31?","2025-05-31T12:00:00Z","0.825","29.5","0.9995","18.5","0.9995","18.5","0.1745000000000001","0","0.1745000000000001","0.025659727163176455","0.17843405381967725","0.17843405381967725"
"100676163741742301500887365935397861745571690357909503140496307630622376923334","943522","106176","will-daylight-launch-a-token-by-312","","Will Daylight launch a token by March 31, 2026?","2027-01-01T05:00:00Z","0.008","290.20833333348855","0.008","290.20833333348855","0.008","290.20833333348855","0","0","0","0.000012020081593634969","0.000012020081593634969","0.000012020081593634969"
"100693546124177498462335112945509945174917952778279708932063275979775633865387","1390292","213312","billboard-200-1-album-week-of-february-28","","Will Golden Hour: Part 4 by ATEEZ be the Billboard 200 #1 album for the week of February 28?","2026-02-24T00:00:00Z","0.0105","7","0.0105","7","0.0005","1","0","-0.01","-0.01","0.0006548859225121299","0.0006548859225121299","0.00021720154586423186"
"100711613237740696304651054404224306330599193190185275797992857646821562535089","518614","16769","will-yoon-leave-south-korea-before-march","","Will Yoon leave South Korea before March?","2025-02-28T12:00:00Z","0.027","29.5","0.004","6.5","0.0005","0.5","-0.023","-0.0035","-0.0265","0.00040295456717451186","0.00026779408866173384","0.00043440309172846373"
